id_reclamo,distancia_centro_km,conexiones_afectadas,calificacion_atencion
0939E4A2608968D,79.22,80.0,3.9
30BA7EBE2E89EB1,33.57,14.0,4.2
118B2D75044F1F6,58.29,12.0,4.9
5260B9FC8CD277B,4.26,35.0,5.0
554A8A1A599D837,65360.0,254.0,
BDBB829535C2A03,97.96,,4.1
F3A7F7D0D26D6DB,11.19,34.0,3.7
4F682449CCEB416,82.17,17.0,5.0
F0F56089BE93647,81.89,14.0,4.4
C4CA4A07351B263,107.54,31.0,4.5
DC6E167A8E55D6A,42.59,,2.2
ABD569667C940B8,67.67,33.0,
C68DB841DE610A7,50.62,73.0,3.8
1530B56D895C915,12.14,28.0,2.3
1D0E92F5E55812C,69.59,3.0,4.4
C1FD9AEFC36725C,45.69,12.0,4.2
27E7DE7F8E11537,0.4,40.0,4.3
8A06A58723098F3,79.68,14.0,5.0
B029B5AE314095F,31.95,4.0,3.7
79185A185A973E1,22.65,38.0,
D5F7382316C027A,11.31,14.0,5.0
4540688C4A72C92,6620.0,30.0,4.7
F202E6E8D1A73E7,59.97,203.0,3.4
567C55BFC8EDA40,59.64,56.0,4.3
A21824936B99EE1,11.06,49.0,3.1
DC5CA4C57BAFFB6,50.13,15.0,2.7
2AB422037A4F245,4.52,208.0,4.1
07692C5D6C4D51C,39800.0,,4.9
A7A330C40BC41CA,0.4,10.0,4.0
8000D30E5862FED,18.76,71.0,3.7
813FFD23BF35E45,56.87,58.0,
5A732AB7C1CD773,10.49,11.0,5.0
BB2D5C3A69085D2,98.31,17.0,3.1
4950BA73152D427,19.13,178.0,3.1
FC3125FDAC95560,0.4,58.0,5.0
0AA34C7C4C3311E,38.09,24.0,4.3
40847B9D7090F97,59.49,42.0,4.7
77EA5F7DC38A3C2,13.17,7.0,4.2
4E8BBDA9CCFD35A,88.53,25.0,4.9
680210706F905A0,49.58,9.0,5.0
2D6B3437C806FE0,55.67,34.0,
374FFE24FBB1EAB,54.79,12.0,4.1
FE8682DF25C87E0,48.69,179.0,3.6
641535B0D5486F9,19.59,53.0,
F1AD8B466E40D9F,22.33,3.0,1.8
67D006409E162D8,55.04,10.0,3.3
DAD1E7030A55876,0.4,19.0,4.7
A7D552DF167C374,5.26,39.0,4.8
091BBE21D9D95B3,47.77,11.0,1.7
4EF2F4ED53C6F80,36.38,30.0,5.0
1C9FAEC3FAB9E0F,33.64,45.0,4.1
0641AEDEF7FDA25,8.16,252.0,
FA9E1B0EB12C31E,4.25,57.0,4.8
32A817C244618D4,49.68,27.0,
BFE19299AEFBA74,50.67,67.0,4.9
EF9155111477A7B,8.22,17.0,
1D11F0C8A26B2B7,63.3,45.0,4.0
29E2F130AA68362,25.81,47.0,4.7
22B9F054FADACE1,63.79,,4.5
B4CA85090529D98,7.57,6.0,
15320C8111AD488,11.5,94.0,5.0
1192CFC7D07D78D,0.4,,4.6
9D9774D25E898C0,0.4,4.0,5.0
91A264756DB3903,0.4,38.0,5.0
77AE2A61352D270,0.4,41.0,4.9
2CE5386C8783A7C,21.62,13.0,
1F8A45170F28294,27.4,53.0,5.0
6B59036E6B817B9,54.05,30.0,3.8
A622CC23D7D8E3B,0.4,14.0,
B6AC02024CBC7C5,12.95,22.0,2.7
1BD07D3C901FA36,28.39,16.0,2.3
BF01AEBB8B577B4,9.35,57.0,
6CE2D2C56DB270A,16.25,9.0,5.0
5026BD1812621F2,11.7,23.0,5.0
704792CB28F8E2A,18.07,28.0,2.4
3F6C38594CD1800,36.0,29.0,4.8
42ECCA44FE140EB,18.15,58.0,2.0
25EFD9B56A7AFCD,0.4,3.0,
7D877F08D90E263,56.82,3.0,4.5
976F07A983FD7D4,0.4,33.0,4.6
6E436B8B535D965,98.21,21.0,4.3
